ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Your name,What is the date and time of collection?,Where are you recording the point?,"Are there no crops (fallow or pasture), one crop, or multiple crops growing in the field?",Which crop(s) are present in the field?,Other - Which crop(s) are present in the field?,"[OPTIONAL] If you selected multiple crops in the previous question, is there a dominant crop?","Other - [OPTIONAL] If you selected multiple crops in the previous question, is there a dominant crop?",[OPTIONAL] Additional notes,x,y
1,91f4ba6f-7786-4fc9-b173-d13f2bd95228,1/10/2023 8:11:20 PM,NASAHarvest_UofMD,1/10/2023 8:11:20 PM,NASAHarvest_UofMD,Ivan Z,1/10/2023 8:04:00 PM,On the edge of the field,Fallow,,,,,,-111.926637772042,33.3683742161324
2,e0390d4d-8cdf-4651-b377-e5037dd7f5d6,1/17/2023 5:45:17 PM,NASAHarvest_UofMD,1/17/2023 5:45:17 PM,NASAHarvest_UofMD,Hannah Kerner ,,On the edge of the field,Multiple crops,"niu_(coconut),pineapple",,,,,-111.92671476486,33.3684217690738
3,c68383f6-69d5-4fc9-bb4b-fd27e7fe105d,1/17/2023 6:52:00 PM,NASAHarvestCollector_UofMD,1/17/2023 6:52:00 PM,NASAHarvestCollector_UofMD,Hannah,,Inside the field,One crop,`ulu_(breadfruit),,,,,-111.926731465373,33.3683944265308
4,ec1491e5-2199-46ad-8423-25115326e2d2,1/17/2023 6:52:04 PM,NASAHarvestCollector_UofMD,1/17/2023 6:52:04 PM,NASAHarvestCollector_UofMD,Hannah,,Inside the field,One crop,mai`a_(banana),,,,,-111.926730088085,33.3683742919501
5,66e0706a-cf80-49f6-92a3-e788bc1d003f,1/17/2023 9:10:44 PM,NASAHarvestCollector_UofMD,1/17/2023 9:10:44 PM,NASAHarvestCollector_UofMD,Gabriel Tseng,,On the edge of the field,Pasture,,,,,,-156.34356138,20.88313467
6,eab874b9-5226-439d-a612-0114bcbe0af3,1/18/2023 8:29:57 PM,NASAHarvestCollector_UofMD,1/18/2023 8:29:57 PM,NASAHarvestCollector_UofMD,akw,,On the edge of the field,Fallow,,,,,,-105.159649261042,39.9524937843646
7,3daa0079-e7a8-4c2c-ac6e-041b115990d1,1/21/2023 1:23:37 PM,NASAHarvestCollector_UofMD,1/21/2023 1:23:37 PM,NASAHarvestCollector_UofMD,Catherine Nakalembe,,On the edge of the field,Fallow,other,Nothing ,,,,32.4676277273002,0.0555291652630381
8,5d663805-8bcd-494b-ac4d-c90451fc054f,1/24/2023 9:56:13 PM,,1/24/2023 9:56:13 PM,,Jacob Adler,,On the edge of the field,Pasture,other,Ryegrass,,,Test point,-111.926468783199,33.3683640483064
9,82660edd-6f00-456a-8b99-6bc8616636be,1/25/2023 11:58:49 PM,,1/25/2023 11:58:49 PM,,Jacob Adler,,On the edge of the field,Pasture,other,Ryegrass and dormant fig tree,,,,-111.926485233301,33.3683292738925
10,794b6ff3-a692-428c-8b41-336ff5855639,1/27/2023 2:27:59 AM,NASAHarvestCollector_UofMD,1/27/2023 2:27:59 AM,NASAHarvestCollector_UofMD,Gabriel Tseng,,On the edge of the field,Pasture,,,,,,-156.34329253,20.88317591
